hour,inventory_time,inventory_tx,cm inv,unique_tx,unique_fp,unique_fn,tp_inv,tn_inv,fp_inv,fn_inv,fn_index_inv,fn_expiry_inv,FPR inv,FNR inv,Accuracy % inv,Reprocess % inv,total_tx,cm total,entry_tx,cm entry,added_tx,tp_entry,tn_entry,fp_entry,fn_entry,fn_index_entry,fn_expiry_entry,FPR Entry,FNR Entry,Accuracy % Entry,Reprocess % Entry,exit_tx,cm exit,exited_tx,block_tx,debris,tp_exit,tn_exit,fp_exit,fn_exit,fn_index_exit,fn_expiry_exit,fn_index,fn_expiry,FPR Exit,FNR Exit,Accuracy % Exit,Reprocess % Exit,FPR,FNR,Accuracy %,Reprocess %,current_mempool_tx,shadow_mempool.size(),(fp_entry-fn_entry+fp_exit-fn_exit),non_block,shadow check,debris check
13,46800,36199,36199,31508,1,4514,27075,3796,1,5327,0,4514,2.76251e-05,0.147159,99.9972,14.7159,934206,898007,898007,898007,892908,4631,891509,468,1399,0,1399,0.000521154,0.00155789,99.9479,0.155789,0,0,0,0,0,0,0,0,0,0,0,0,5913,-nan,-nan,-nan,-nan,0.000502031,0.0071997,99.9498,0.71997,1,891977,-931,0,-930,18446744073708658709,1.63368e+08,1,0,1
14,50400,40699,40699,35460,1,4534,31262,4057,1,5379,0,4534,2.45706e-05,0.132165,99.9975,13.2165,984323,943624,943624,943624,938387,4769,936591,468,1796,0,1796,0.00049596,0.0019033,99.9504,0.19033,0,0,0,0,0,0,0,0,0,0,0,0,6330,-nan,-nan,-nan,-nan,0.00047647,0.00728927,99.9524,0.728927,45480,937059,-1328,0,44152,18446744073708658709,1.72166e+08,45480,0,1
15,54000,45377,45377,39580,1,4601,35593,4323,1,5460,0,4601,2.20376e-05,0.120325,99.9978,12.0325,1035130,989753,989753,989753,984342,4943,981840,468,2502,0,2502,0.000472845,0.0025279,99.9527,0.25279,0,0,0,0,0,0,0,0,0,0,0,0,7103,-nan,-nan,-nan,-nan,0.000453083,0.00769179,99.9547,0.769179,91435,982308,-2034,0,89401,18446744073708658709,1.80583e+08,91435,0,1
16,57600,50634,50634,44208,1,4603,40560,4607,1,5466,0,4603,1.97496e-05,0.107951,99.998,10.7951,1086930,1036296,1036296,1036296,1030559,5269,1027737,468,2822,0,2822,0.000451608,0.00272316,99.9548,0.272316,0,0,0,0,0,0,0,0,0,0,0,0,7425,-nan,-nan,-nan,-nan,0.000431491,0.00762515,99.9569,0.762515,137652,1028205,-2354,0,135298,18446744073708658709,1.89196e+08,137652,0,1
17,61200,56018,56018,48845,1,4604,45563,4987,1,5467,0,4604,1.78514e-05,0.0975936,99.9982,9.75936,1137018,1081000,1081000,1081000,1074785,5747,1071517,468,3268,0,3268,0.000432932,0.00302313,99.9567,0.302313,0,0,0,0,0,0,0,0,0,0,0,0,7872,-nan,-nan,-nan,-nan,0.000412482,0.00768238,99.9588,0.768238,181878,1071985,-2800,0,179078,18446744073708658709,1.97176e+08,181878,0,1
18,64800,61201,61201,53447,1,4623,50421,5277,1,5502,0,4623,1.63396e-05,0.0899005,99.9984,8.99005,1188871,1127670,1127670,1127670,1121044,6158,1117259,468,3785,0,3785,0.000415015,0.00335648,99.9585,0.335648,0,0,0,0,0,0,0,0,0,0,0,0,8408,-nan,-nan,-nan,-nan,0.000394492,0.00781161,99.9606,0.781161,228137,1117727,-3317,0,224820,18446744073708658709,2.05497e+08,228137,0,1
19,68400,66648,66648,58257,1,4646,55281,5804,1,5562,0,4646,1.50042e-05,0.0834534,99.9985,8.34534,1244585,1177937,1177937,1177937,1170881,6587,1166692,469,4189,0,4189,0.000398154,0.00355622,99.9602,0.355622,0,0,0,0,0,0,0,0,0,0,0,0,8835,-nan,-nan,-nan,-nan,0.000377636,0.00783474,99.9622,0.783474,277974,1167161,-3720,0,274254,18446744073708658709,2.14726e+08,277974,0,1
20,72000,70697,70697,61871,1,4652,59050,6054,1,5592,0,4652,1.41449e-05,0.0790981,99.9986,7.90981,1293642,1222945,1222945,1222945,1215418,7057,1210943,470,4475,0,4475,0.000384318,0.0036592,99.9616,0.36592,0,0,0,0,0,0,0,0,0,0,0,0,9127,-nan,-nan,-nan,-nan,0.000364088,0.00778191,99.9636,0.778191,322511,1211413,-4005,0,318506,18446744073708658709,2.22389e+08,322511,0,1
21,75600,76020,76020,66403,1,4671,62978,7329,1,5712,0,4671,1.31544e-05,0.0751381,99.9987,7.51381,1347519,1271499,1271499,1271499,1263067,7961,1258191,471,4876,0,4876,0.000370429,0.00383484,99.963,0.383484,0,0,0,0,0,0,0,0,0,0,0,0,9547,-nan,-nan,-nan,-nan,0.000350273,0.0078574,99.965,0.78574,370160,1258662,-4405,0,365755,18446744073708658709,2.30703e+08,370160,0,1
22,79200,79079,79079,69186,1,4677,65780,7580,1,5718,0,4677,1.26456e-05,0.0723074,99.9987,7.23074,1392600,1313521,1313521,1313521,1304794,8251,1298999,476,5795,0,5795,0.000362385,0.00441181,99.9638,0.441181,0,0,0,0,0,0,0,0,0,0,0,0,10472,-nan,-nan,-nan,-nan,0.000342525,0.00826727,99.9657,0.826727,411887,1299475,-5319,0,406568,18446744073708658709,2.38279e+08,411887,0,1
